whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
gehts,morgen,51.44,51.0367355347,51.94,51.5559196472
schon,gehts,51.94,51.5559196472,52.24,51.9372329712
los,schon,52.24,51.9372329712,52.94,52.4473457336
es,los,53.959999999999994,52.4473457336,54.44,53.1083908081
tut,es,54.44,54.3288879395,54.84,54.543674469
mir,tut,54.84,54.543674469,55.14,54.9975509644
leid,mir,55.14,54.9975509644,55.72,55.2848968506
um,leid,55.72,55.2848968506,55.96,55.5319709778
unsere,um,55.96,55.7917442322,56.42,55.9608154297
zeit,unsre,56.42,55.9608154297,57.12,56.4462585449
denkt,zeit,59.14,56.5696144104,60.22,57.9410438538
mal,denkt,60.22,60.022857666,60.5,60.316734314
an,mal,60.5,60.316734314,60.88,60.5097503662
mich,an,60.88,60.7314300537,61.64,60.9028587341
und,mich,61.64,60.9599990845,62.18,61.7632637024
wünscht,und,62.18,62.0310211182,62.72,62.1975517273
mir,wünscht,62.72,62.1975517273,62.94,62.6866226196
glück,mir,62.94,62.8146934509,63.48,63.053062439
vielleicht,glück,64.9,63.053062439,65.98,64.2684783936
komm,vielleicht,65.98,65.603263855,66.44,66.2276611328
ich,komm,66.44,66.3379592896,66.92,66.573059082
ja,ich,66.92,66.573059082,67.16,66.9877548218
bald,ja,67.16,66.9877548218,67.38,67.1608200073
zurück,bald,67.38,67.1608200073,68.0,67.3596343994
dann,zurück,74.42,67.4946060181,75.4,69.2752838135
ist,dann,75.4,75.2674865723,75.74,75.5363235474
die,ist,75.74,75.5363235474,75.98,75.7812271118
zeit,die,75.98,75.8628540039,76.78,76.1044921875
für,zeit,76.78,76.1044921875,77.54,77.0832672119
veränderung,für,77.54,77.4095230103,78.64,77.6097946167
mein,veränderung,78.74,77.6097946167,78.88,78.4424514771
schiff,mein,78.88,78.7200012207,79.1,78.9028549194
sagt,chef,79.1,78.9028549194,79.3,79.1020431519
zeit,sagt,79.44,79.1020431519,79.74,79.3697967529
für,zeit,79.74,79.3697967529,80.42,80.0507965088
veränderung,für,80.42,80.3526535034,81.0,80.5442199707
wir,veränderung,82.2,80.5442199707,82.76,81.9229049683
leben,wir,82.76,82.6448974609,83.22,82.86693573
die,leben,83.22,82.86693573,83.38,83.3012237549
veränderung,die,83.38,83.3012237549,84.44,83.4546966553
veränderung,veränderung,84.76,83.4546966553,85.8,84.4480743408
halb,veränderung,85.8,84.6889801025,86.2,85.8383636475
jung,hält,86.2,85.8383636475,86.72,86.2447128296
gerade,jung,90.53999999999999,86.2447128296,91.5,87.5247192383
denk,gerade,91.5,91.0628585815,92.36,91.8987731934
ich,denk,92.36,91.8987731934,92.56,92.4244918823
mir,ich,92.56,92.4244918823,92.82,92.5812225342
wie,mir,93.1,92.5812225342,93.22,92.8689346313
schön,wie,93.22,93.1036758423,93.7,93.2734680176
das,schön,93.7,93.2734680176,94.04,93.8612213135
leben,das,94.04,93.8612213135,94.4,94.0718383789
ist,leben,94.4,94.1420440674,94.88000000000001,94.4544219971
alles,ist,96.02000000000001,94.609703064,96.98,95.4195022583
läuft,alles,96.98,96.6497955322,97.54,97.3518371582
gut,läuft,97.54,97.3518371582,98.08,97.6620407104
wie,gut,98.12,97.6620407104,98.24,98.0800018311
gut,wie,98.24,98.0800018311,98.52,98.3020401001
das,gut,98.52,98.3020401001,98.84,98.6318359375
tut,das,98.84,98.6318359375,99.78,98.8770980835
denkt,tut,101.7,98.9616317749,102.54,100.4263000488
mal,denkt,102.54,102.3412246704,102.84,102.6187744141
an,mal,102.84,102.6187744141,103.22,102.889793396
mich,an,103.22,103.0661239624,104.0,103.3175506592
und,mich,104.0,103.3175506592,104.58,104.0725631714
wünscht,und,104.58,104.4473495483,105.14,104.6385498047
mir,wünscht,105.14,104.7575531006,105.32,105.1138305664
glück,mir,105.32,105.1853027344,106.0,105.4530639648
das,glück,116.24,105.4530639648,117.16,106.6521530151
ist,vielleicht,117.16,107.9437637329,118.08,108.5750579834
die,komm,118.08,108.6465301514,118.36,108.8848953247
zeit,ich,118.36,108.8848953247,119.08,109.3195495605
für,ja,119.08,109.3195495605,119.88,109.49659729
veränderung,bald,119.88,109.49659729,121.02,109.8514251709
mein,zurück,121.04,109.8514251709,121.22,111.532699585
schiff,das,121.22,117.6751022339,121.4,117.8938751221
sagt,ist,121.4,117.8938751221,121.58,118.140953064
zeit,die,121.86,118.2334671021,122.14,118.503036499
für,zeit,122.14,118.503036499,122.78,119.5022201538
veränderung,für,122.78,119.8269424438,124.12,120.0297470093
wir,veränderung,124.5,120.0297470093,125.1,121.0187759399
leben,mein,125.1,121.0187759399,125.54,121.2146911621
die,chef,125.54,121.2146911621,125.74,121.4171447754
veränderung,sagt,125.74,121.4171447754,126.78,121.6522445679
veränderung,zeit,127.08,121.6522445679,128.14,122.4939651489
halb,für,128.14,122.6942367554,128.56,122.8506088257
jung,veränderung,128.56,122.8506088257,129.04,124.2565078735
wir,wir,135.85999999999999,124.9059448242,137.26,125.1497497559
leben,leben,137.26,125.1497497559,137.58,125.5619049072
die,die,137.58,125.5619049072,137.58,125.7592773438
veränderung,veränderung,137.58,125.7592773438,138.84,126.8825378418
mein,veränderung,159.02,127.042175293,159.02,128.0863494873
schiff,hält,159.02,128.1915588379,159.02,128.467300415
sagt,jung,159.02,128.5398712158,159.02,129.9446716309
zeit,ba,159.02,136.9600067139,159.02,137.195098877
für,da,159.02,137.195098877,159.02,137.4273071289
veränderung,da,159.02,137.4273071289,159.02,137.662399292
das,da,159.02,137.662399292,160.22,137.9809570312
ist,da,160.22,138.2236785889,160.48,138.3673400879
die,da,160.48,138.3673400879,160.72,139.0410919189
zeit,ba,160.72,145.5118408203,161.44,145.7458496094
für,da,161.44,145.7458496094,162.26,145.9548339844
veränderung,da,162.26,145.9548339844,163.28,146.1638031006
mein,dam,163.36,146.1638031006,163.5,146.50340271
schiff,da,163.5,146.7330627441,163.72,146.9191894531
sagt,da,163.72,146.9191894531,163.94,147.6005401611
zeit,ba,164.28,151.1934661865,164.46,151.391204834
für,da,164.46,151.391204834,165.08,151.5885772705
veränderung,da,165.08,151.5885772705,166.28,151.7812194824
wir,dam,166.28,151.7812194824,167.32,152.1371459961
leben,da,167.32,152.3950958252,167.8,152.5877532959
die,dam,167.8,152.5877532959,167.96,153.332244873
veränderung,da,167.96,153.8902435303,169.0,155.0301971436
wir,das,169.32,160.0489807129,169.46,160.3167419434
leben,ist,169.46,160.3167419434,169.46,160.6269378662
die,die,169.46,160.6269378662,169.46,160.8489837646
veränderung,zeit,169.46,160.8489837646,169.46,161.6457214355
veränderung,für,169.46,162.1910247803,170.48,162.3481140137
halb,veränderung,170.48,162.3481140137,170.9,163.3959197998
jung,mein,170.9,163.3959197998,171.36,163.5461273193
es,chef,172.5,163.5461273193,173.14,163.7587280273
ist,sagt,173.14,163.7587280273,173.4,163.9640808105
die,zeit,173.4,163.9640808105,173.62,164.5910186768
zeit,für,173.62,165.0126037598,174.24,165.2215881348
für,veränderung,174.24,165.2215881348,174.98,166.5175476074
veränderung,wir,174.98,167.1542816162,176.22,167.4351043701
schon,leben,176.78,167.4351043701,177.24,167.745300293
wieder,die,177.24,167.8530578613,177.62,168.0
eine,veränderung,177.62,168.0,177.84,169.0906066895
veränderung,veränderung,177.84,169.3141021729,178.3,170.3706054688
und,hält,179.74,170.4867095947,179.82,170.852432251
so,jung,179.82,170.852432251,180.02,172.6759185791
geht,es,180.02,172.9538269043,180.4,173.1885681152
das,ist,180.4,173.1885681152,180.74,173.3746948242
leben,die,180.74,173.4987792969,181.2,173.6750946045
rum,zeit,181.2,173.7436676025,181.64,174.6010894775
und,für,181.64,174.8868865967,182.22,175.0958709717
wird,veränderung,182.22,175.0958709717,182.58,176.5502929688
schnell,schon,182.58,177.0350952148,182.86,177.3485717773
grau,wieder,182.86,177.3485717773,183.32,177.6790924072
und,ne,183.32,177.6790924072,183.58,177.9054870605
krumm,veränderung,183.58,177.9054870605,184.78,179.1738739014
zeit,und,184.78,179.6995849609,186.06,179.8559570312
für,so,186.06,179.8559570312,186.56,180.0765533447
veränderung,geht,186.56,180.0765533447,187.0,180.4081573486
zeit,das,187.0,180.5355072021,187.0,180.7542877197
für,leben,187.0,180.8776397705,187.0,181.2799987793
veränderung,rum,187.0,181.2799987793,189.9,181.8122406006
zeit,man,189.9,182.0506134033,190.06,182.2824554443
für,wird,190.06,182.2824554443,190.06,182.5901184082
veränderung,schnell,190.06,182.5901184082,190.38,182.9151916504
zeit,grau,192.36,182.9151916504,192.84,183.2718353271
für,und,192.84,183.2718353271,193.32,183.5711517334
veränderung,krumm,193.32,183.5711517334,193.5,185.1167297363
zeit,zeit,193.5,185.6319274902,193.74,186.0963287354
für,für,193.74,186.1649017334,193.74,186.7559204102
veränderung,veränderung,193.74,186.9380493164,193.74,191.3534698486
zeit,,193.74,,193.76,
für,,193.76,,193.76,
veränderung,,193.76,,193.76,
